date,description,amount,category
2024-01-01,Swiggy food delivery,450,Food
2024-01-02,IRCTC train ticket,1200,Travel
2024-01-03,Amazon purchase,899,Shopping
2024-01-04,Zomato order,320,Food
2024-01-05,Uber ride,180,Transport
2024-01-06,Netflix subscription,649,Entertainment
2024-01-07,BigBasket groceries,1100,Groceries
2024-01-08,Ola cab booking,220,Transport
2024-01-09,Spotify premium,119,Entertainment
2024-01-10,Flipkart order,1599,Shopping
2024-01-11,Dunzo delivery,85,Food
2024-01-12,MakeMyTrip hotel,4500,Travel
2024-01-13,Blinkit groceries,670,Groceries
2024-01-14,YouTube premium,189,Entertainment
2024-01-15,Rapido bike taxi,60,Transport
2024-01-16,DMart groceries,2300,Groceries
2024-01-17,BookMyShow tickets,800,Entertainment
2024-01-18,Swiggy Instamart,430,Groceries
2024-01-19,IndiGo flight,5200,Travel
2024-01-20,Amazon Prime,1499,Entertainment
2024-01-21,Zomato pizza,280,Food
2024-01-22,Ola outstation,2200,Transport
2024-01-23,Myntra clothing,1299,Shopping
2024-01-24,Air India flight,6500,Travel
2024-01-25,Swiggy biryani,350,Food
2024-01-26,Zepto groceries,540,Groceries
2024-01-27,Disney plus hotstar,299,Entertainment
2024-01-28,Uber auto,90,Transport
2024-01-29,Nykaa cosmetics,799,Shopping
2024-01-30,Oyo rooms,2800,Travel
2024-02-01,Zomato burger,220,Food
2024-02-02,Metro card recharge,500,Transport
2024-02-03,Meesho order,499,Shopping
2024-02-04,SpiceJet flight,4800,Travel
2024-02-05,Swiggy sandwich,180,Food
2024-02-06,Reliance Smart groceries,1800,Groceries
2024-02-07,Amazon movie rental,149,Entertainment
2024-02-08,Rapido auto,75,Transport
2024-02-09,Ajio clothing,999,Shopping
2024-02-10,Treebo hotel,3200,Travel
2024-02-11,Zomato chinese,410,Food
2024-02-12,BigBasket vegetables,890,Groceries
2024-02-13,Sony Liv subscription,299,Entertainment
2024-02-14,Uber pool,120,Transport
2024-02-15,Snapdeal order,649,Shopping
2024-02-16,Cleartrip flight,5500,Travel
2024-02-17,Swiggy noodles,260,Food
2024-02-18,More supermarket,1400,Groceries
2024-02-19,Zee5 subscription,199,Entertainment
2024-02-20,Ola share,85,Transport
2024-02-21,Flipkart electronics,2999,Shopping
2024-02-22,Goibibo hotel,3800,Travel
2024-02-23,Zomato pasta,340,Food
2024-02-24,Nature basket groceries,1600,Groceries
2024-02-25,Apple music,99,Entertainment
2024-02-26,Uber xl,350,Transport
2024-02-27,Tata Cliq order,1799,Shopping
2024-02-28,EaseMyTrip flight,4200,Travel
2024-03-01,Swiggy rolls,190,Food
2024-03-02,Spencer groceries,2100,Groceries
2024-03-03,Hotstar subscription,399,Entertainment
2024-03-04,Rapido bike,55,Transport
2024-03-05,Myntra shoes,1499,Shopping
2024-03-06,Vistara flight,7200,Travel
2024-03-07,Zomato thali,310,Food
2024-03-08,Blinkit vegetables,450,Groceries
2024-03-09,JioCinema premium,149,Entertainment
2024-03-10,Ola prime,210,Transport
2024-03-11,Amazon gadgets,3499,Shopping
2024-03-12,MakeMyTrip flight,5800,Travel
2024-03-13,Swiggy dosa,120,Food
2024-03-14,BigBasket fruits,670,Groceries
2024-03-15,Netflix premium,649,Entertainment
2024-03-16,Uber intercity,1800,Transport
2024-03-17,Flipkart fashion,899,Shopping
2024-03-18,Airbnb stay,6200,Travel
2024-03-19,Zomato shawarma,280,Food
2024-03-20,Zepto vegetables,380,Groceries
